"","Gene","Exon","Transcript","Junction","DER","Symbol"
"ENSG00000196581",TRUE,TRUE,TRUE,TRUE,TRUE,"AJAP1"
"ENSG00000264341",TRUE,TRUE,FALSE,FALSE,FALSE,"MIR4417"
"ENSG00000236948",TRUE,TRUE,FALSE,TRUE,FALSE,""
"ENSG00000069424",TRUE,TRUE,TRUE,TRUE,TRUE,"KCNAB2"
"ENSG00000116254",TRUE,TRUE,TRUE,TRUE,TRUE,"CHD5"
"ENSG00000116251",TRUE,TRUE,TRUE,TRUE,TRUE,"RPL22"
"ENSG00000226944",TRUE,TRUE,TRUE,TRUE,FALSE,""
"ENSG00000158286",TRUE,TRUE,TRUE,TRUE,TRUE,"RNF207"
"ENSG00000116237",TRUE,TRUE,TRUE,TRUE,TRUE,"ICMT"
"ENSG00000173673",TRUE,TRUE,FALSE,TRUE,FALSE,"HES3"
"ENSG00000158292",TRUE,TRUE,TRUE,TRUE,TRUE,"GPR153"
"ENSG00000097021",TRUE,TRUE,TRUE,TRUE,TRUE,"ACOT7"
"ENSG00000187017",TRUE,TRUE,TRUE,TRUE,TRUE,"ESPN"
"ENSG00000215788",TRUE,TRUE,TRUE,TRUE,TRUE,"TNFRSF25"
"ENSG00000171680",TRUE,TRUE,TRUE,TRUE,TRUE,"PLEKHG5"
"ENSG00000162408",TRUE,TRUE,TRUE,TRUE,TRUE,"NOL9"
"ENSG00000229519",TRUE,TRUE,FALSE,FALSE,FALSE,""
"ENSG00000173662",TRUE,TRUE,FALSE,TRUE,FALSE,"TAS1R1"
"ENSG00000204859",TRUE,TRUE,TRUE,TRUE,TRUE,"ZBTB48"
"ENSG00000162413",TRUE,TRUE,TRUE,TRUE,TRUE,"KLHL21"
"ENSG00000116273",TRUE,TRUE,TRUE,TRUE,TRUE,"PHF13"
"ENSG00000041988",TRUE,TRUE,TRUE,TRUE,TRUE,"THAP3"
"ENSG00000007923",TRUE,TRUE,TRUE,TRUE,TRUE,"DNAJC11"
"ENSG00000237436",TRUE,TRUE,FALSE,TRUE,FALSE,""
"ENSG00000171735",TRUE,TRUE,TRUE,TRUE,TRUE,"CAMTA1"
"ENSG00000237402",TRUE,TRUE,FALSE,TRUE,FALSE,"CAMTA1-IT1"
"ENSG00000270171",TRUE,TRUE,TRUE,FALSE,FALSE,""
"ENSG00000270035",TRUE,TRUE,TRUE,FALSE,FALSE,""
"ENSG00000269978",TRUE,TRUE,TRUE,FALSE,FALSE,""
"ENSG00000049245",TRUE,TRUE,TRUE,TRUE,TRUE,"VAMP3"
"ENSG00000269925",TRUE,TRUE,TRUE,FALSE,FALSE,""
"ENSG00000049246",TRUE,TRUE,TRUE,TRUE,TRUE,"PER3"
"ENSG00000236266",TRUE,TRUE,TRUE,TRUE,FALSE,""
"ENSG00000049247",TRUE,TRUE,FALSE,TRUE,FALSE,"UTS2"
"ENSG00000116288",TRUE,TRUE,TRUE,TRUE,TRUE,"PARK7"
"ENSG00000200344",TRUE,TRUE,TRUE,FALSE,FALSE,""
"ENSG00000116285",TRUE,TRUE,TRUE,TRUE,TRUE,"ERRFI1"
"ENSG00000238290",TRUE,TRUE,FALSE,TRUE,FALSE,""
"ENSG00000162426",TRUE,TRUE,TRUE,TRUE,TRUE,"SLC45A1"
"ENSG00000252254",TRUE,TRUE,TRUE,FALSE,FALSE,""
"ENSG00000142599",TRUE,TRUE,TRUE,TRUE,TRUE,"RERE"
"ENSG00000232912",TRUE,TRUE,FALSE,TRUE,FALSE,""
"ENSG00000221083",TRUE,TRUE,TRUE,FALSE,FALSE,""
"ENSG00000234619",TRUE,TRUE,FALSE,FALSE,FALSE,"RPL7P11"
"ENSG00000074800",TRUE,TRUE,TRUE,TRUE,TRUE,"ENO1"
"ENSG00000236269",TRUE,TRUE,FALSE,FALSE,FALSE,"ENO1-IT1"
"ENSG00000142583",TRUE,TRUE,TRUE,TRUE,TRUE,"SLC2A5"
"ENSG00000180758",TRUE,TRUE,TRUE,TRUE,FALSE,"GPR157"
"ENSG00000207865",TRUE,TRUE,FALSE,FALSE,FALSE,"MIR34A"
"ENSG00000228526",TRUE,TRUE,TRUE,TRUE,FALSE,""
"ENSG00000234546",TRUE,TRUE,FALSE,TRUE,FALSE,""
"ENSG00000171621",TRUE,TRUE,TRUE,TRUE,TRUE,"SPSB1"
"ENSG00000171612",TRUE,TRUE,TRUE,TRUE,TRUE,"SLC25A33"
"ENSG00000231181",TRUE,TRUE,TRUE,FALSE,FALSE,""
"ENSG00000188807",TRUE,TRUE,TRUE,TRUE,TRUE,"TMEM201"
"ENSG00000231789",TRUE,TRUE,TRUE,TRUE,FALSE,""
"ENSG00000171603",TRUE,TRUE,TRUE,TRUE,TRUE,"CLSTN1"
"ENSG00000178585",TRUE,TRUE,TRUE,TRUE,TRUE,"CTNNBIP1"
"ENSG00000162441",TRUE,TRUE,TRUE,TRUE,TRUE,"LZIC"
"ENSG00000173614",TRUE,TRUE,TRUE,TRUE,TRUE,"NMNAT1"
"ENSG00000162444",TRUE,TRUE,TRUE,TRUE,TRUE,"RBP7"
"ENSG00000130939",TRUE,TRUE,TRUE,TRUE,TRUE,"UBE4B"
"ENSG00000199562",TRUE,TRUE,TRUE,FALSE,FALSE,"RNU6-37P"
"ENSG00000142657",TRUE,TRUE,TRUE,TRUE,TRUE,"PGD"
"ENSG00000175279",TRUE,TRUE,TRUE,TRUE,TRUE,"APITD1"
"ENSG00000241563",TRUE,TRUE,TRUE,TRUE,FALSE,"CORT"
"ENSG00000160049",TRUE,TRUE,TRUE,TRUE,TRUE,"DFFA"
"ENSG00000142655",TRUE,TRUE,TRUE,TRUE,TRUE,"PEX14"
"ENSG00000130940",TRUE,TRUE,TRUE,TRUE,TRUE,"CASZ1"
"ENSG00000272078",TRUE,TRUE,TRUE,TRUE,FALSE,""
"ENSG00000175262",TRUE,TRUE,FALSE,TRUE,FALSE,"C1orf127"
"ENSG00000215785",TRUE,TRUE,FALSE,FALSE,FALSE,"CFL1P6"
"ENSG00000120948",TRUE,TRUE,TRUE,TRUE,TRUE,"TARDBP"
"ENSG00000271895",TRUE,TRUE,TRUE,FALSE,FALSE,""
"ENSG00000116649",TRUE,TRUE,TRUE,TRUE,TRUE,"SRM"
"ENSG00000171824",TRUE,TRUE,TRUE,TRUE,TRUE,"EXOSC10"
"ENSG00000226849",TRUE,TRUE,TRUE,TRUE,FALSE,""
"ENSG00000230337",TRUE,TRUE,TRUE,TRUE,FALSE,""
"ENSG00000120942",TRUE,TRUE,TRUE,TRUE,TRUE,"UBIAD1"
"ENSG00000238199",TRUE,TRUE,FALSE,FALSE,FALSE,"UBE2V2P3"
"ENSG00000204624",TRUE,TRUE,TRUE,TRUE,TRUE,"PTCHD2"
"ENSG00000116661",TRUE,TRUE,TRUE,TRUE,TRUE,"FBXO2"
"ENSG00000132879",TRUE,TRUE,TRUE,TRUE,TRUE,"FBXO44"
"ENSG00000116663",TRUE,TRUE,TRUE,TRUE,TRUE,"FBXO6"
"ENSG00000116670",TRUE,TRUE,TRUE,TRUE,TRUE,"MAD2L2"
"ENSG00000162490",TRUE,TRUE,TRUE,TRUE,TRUE,"DRAXIN"
"ENSG00000177674",TRUE,TRUE,TRUE,TRUE,TRUE,"AGTRAP"
"ENSG00000011021",TRUE,TRUE,TRUE,TRUE,TRUE,"CLCN6"
"ENSG00000242349",TRUE,TRUE,TRUE,TRUE,TRUE,"NPPA-AS1"
"ENSG00000175206",TRUE,TRUE,TRUE,TRUE,FALSE,"NPPA"
"ENSG00000116685",TRUE,TRUE,TRUE,TRUE,TRUE,"KIAA2013"
"ENSG00000083444",TRUE,TRUE,TRUE,TRUE,TRUE,"PLOD1"
"ENSG00000116688",TRUE,TRUE,TRUE,TRUE,TRUE,"MFN2"
"ENSG00000116691",TRUE,TRUE,TRUE,TRUE,TRUE,"MIIP"
"ENSG00000202461",TRUE,TRUE,TRUE,FALSE,FALSE,""
"ENSG00000028137",TRUE,TRUE,TRUE,TRUE,TRUE,"TNFRSF1B"
"ENSG00000048707",TRUE,TRUE,TRUE,TRUE,TRUE,"VPS13D"
"ENSG00000239149",TRUE,TRUE,TRUE,FALSE,FALSE,"SNORA59A"
"ENSG00000162496",TRUE,TRUE,TRUE,TRUE,TRUE,"DHRS3"
"ENSG00000272482",TRUE,TRUE,TRUE,FALSE,FALSE,""
"ENSG00000157330",TRUE,TRUE,TRUE,TRUE,FALSE,"C1orf158"
"ENSG00000162494",TRUE,TRUE,TRUE,TRUE,TRUE,"LRRC38"
"ENSG00000259961",TRUE,TRUE,FALSE,TRUE,FALSE,""
"ENSG00000162493",TRUE,TRUE,TRUE,TRUE,TRUE,"PDPN"
"ENSG00000237445",TRUE,TRUE,FALSE,FALSE,FALSE,""
"ENSG00000116731",TRUE,TRUE,TRUE,TRUE,TRUE,"PRDM2"
"ENSG00000189337",TRUE,TRUE,TRUE,TRUE,TRUE,"KAZN"
"ENSG00000175147",TRUE,TRUE,TRUE,TRUE,FALSE,"TMEM51-AS1"
"ENSG00000171729",TRUE,TRUE,TRUE,TRUE,TRUE,"TMEM51"
"ENSG00000215720",TRUE,TRUE,FALSE,FALSE,FALSE,""
"ENSG00000142621",TRUE,TRUE,TRUE,TRUE,TRUE,"FHAD1"
"ENSG00000236045",TRUE,TRUE,FALSE,FALSE,FALSE,""
"ENSG00000228140",TRUE,TRUE,FALSE,TRUE,FALSE,""
"ENSG00000142634",TRUE,TRUE,TRUE,TRUE,TRUE,"EFHD2"
"ENSG00000162438",TRUE,TRUE,FALSE,TRUE,FALSE,"CTRC"
"ENSG00000142615",TRUE,TRUE,TRUE,TRUE,FALSE,"CELA2A"
"ENSG00000215704",TRUE,TRUE,FALSE,TRUE,TRUE,"CELA2B"
"ENSG00000132906",TRUE,TRUE,TRUE,TRUE,TRUE,"CASP9"
"ENSG00000116138",TRUE,TRUE,TRUE,TRUE,TRUE,"DNAJC16"
"ENSG00000116771",TRUE,TRUE,TRUE,TRUE,FALSE,"AGMAT"
"ENSG00000237301",TRUE,TRUE,TRUE,TRUE,FALSE,""
"ENSG00000235084",TRUE,TRUE,TRUE,FALSE,FALSE,"CHCHD2P6"
"ENSG00000197312",TRUE,TRUE,TRUE,TRUE,TRUE,"DDI2"
"ENSG00000271742",TRUE,TRUE,FALSE,FALSE,FALSE,""
"ENSG00000116786",TRUE,TRUE,TRUE,TRUE,TRUE,"PLEKHM2"
"ENSG00000237938",TRUE,TRUE,TRUE,TRUE,TRUE,""
"ENSG00000162461",TRUE,TRUE,TRUE,TRUE,TRUE,"SLC25A34"
"ENSG00000162460",TRUE,TRUE,FALSE,TRUE,FALSE,"TMEM82"
"ENSG00000162458",TRUE,TRUE,TRUE,TRUE,TRUE,"FBLIM1"
"ENSG00000224321",TRUE,TRUE,FALSE,FALSE,FALSE,""
"ENSG00000178715",TRUE,TRUE,TRUE,FALSE,FALSE,""
"ENSG00000065526",TRUE,TRUE,TRUE,TRUE,TRUE,"SPEN"
"ENSG00000238818",TRUE,TRUE,FALSE,FALSE,FALSE,""
"ENSG00000116809",TRUE,TRUE,TRUE,TRUE,TRUE,"ZBTB17"
"ENSG00000183888",TRUE,TRUE,TRUE,TRUE,TRUE,"C1orf64"
"ENSG00000173641",TRUE,TRUE,TRUE,TRUE,TRUE,"HSPB7"
"ENSG00000232456",TRUE,TRUE,FALSE,TRUE,TRUE,""
"ENSG00000185519",TRUE,TRUE,TRUE,TRUE,TRUE,"FAM131C"
"ENSG00000142627",TRUE,TRUE,TRUE,TRUE,TRUE,"EPHA2"
"ENSG00000224621",TRUE,TRUE,FALSE,TRUE,FALSE,""
"ENSG00000142632",TRUE,TRUE,TRUE,TRUE,FALSE,"ARHGEF19"
"ENSG00000237276",TRUE,TRUE,TRUE,TRUE,FALSE,"ANO7P1"
"ENSG00000204377",TRUE,TRUE,TRUE,TRUE,TRUE,"C1orf134"
"ENSG00000132881",TRUE,TRUE,TRUE,TRUE,TRUE,"RSG1"
"ENSG00000233929",TRUE,TRUE,TRUE,FALSE,FALSE,"MT1XP1"
"ENSG00000037637",TRUE,TRUE,TRUE,TRUE,TRUE,"FBXO42"
"ENSG00000055070",TRUE,TRUE,TRUE,TRUE,TRUE,"SZRD1"
"ENSG00000187144",TRUE,TRUE,FALSE,TRUE,FALSE,"SPATA21"
"ENSG00000157191",TRUE,TRUE,TRUE,TRUE,TRUE,"NECAP2"
"ENSG00000226029",TRUE,TRUE,TRUE,TRUE,TRUE,""
"ENSG00000080947",TRUE,TRUE,TRUE,TRUE,TRUE,"CROCCP3"
"ENSG00000206652",TRUE,TRUE,TRUE,FALSE,TRUE,"RNU1-1"
"ENSG00000261135",TRUE,TRUE,TRUE,FALSE,TRUE,""
"ENSG00000224174",TRUE,TRUE,TRUE,TRUE,TRUE,""
"ENSG00000233421",TRUE,TRUE,TRUE,TRUE,TRUE,""
"ENSG00000268674",TRUE,TRUE,TRUE,FALSE,FALSE,"FAM231B"
"ENSG00000219481",TRUE,TRUE,TRUE,TRUE,TRUE,"NBPF1"
"ENSG00000186301",TRUE,TRUE,TRUE,TRUE,TRUE,"MST1P2"
"ENSG00000237847",TRUE,TRUE,TRUE,FALSE,FALSE,"FAM231A"
"ENSG00000268869",TRUE,TRUE,TRUE,TRUE,FALSE,"ESPNP"
"ENSG00000058453",TRUE,TRUE,TRUE,TRUE,TRUE,"CROCC"
"ENSG00000186715",TRUE,TRUE,TRUE,TRUE,FALSE,"MST1L"
"ENSG00000228549",TRUE,TRUE,TRUE,TRUE,FALSE,""
"ENSG00000238142",TRUE,TRUE,TRUE,TRUE,FALSE,""
"ENSG00000235241",TRUE,TRUE,TRUE,FALSE,FALSE,""
"ENSG00000272426",TRUE,TRUE,TRUE,FALSE,FALSE,""
"ENSG00000117122",TRUE,TRUE,TRUE,TRUE,TRUE,"MFAP2"
"ENSG00000226526",TRUE,TRUE,FALSE,TRUE,TRUE,""
"ENSG00000159363",TRUE,TRUE,TRUE,TRUE,TRUE,"ATP13A2"
"ENSG00000117118",TRUE,TRUE,TRUE,TRUE,TRUE,"SDHB"
"ENSG00000117115",TRUE,TRUE,TRUE,TRUE,TRUE,"PADI2"
"ENSG00000159339",TRUE,TRUE,TRUE,TRUE,TRUE,"PADI4"
"ENSG00000179051",TRUE,TRUE,TRUE,TRUE,TRUE,"RCC2"
"ENSG00000074964",TRUE,TRUE,TRUE,TRUE,TRUE,"ARHGEF10L"
"ENSG00000117148",TRUE,TRUE,FALSE,TRUE,FALSE,"ACTL8"
"ENSG00000261781",TRUE,TRUE,FALSE,TRUE,FALSE,""
"ENSG00000117154",TRUE,TRUE,TRUE,TRUE,TRUE,"IGSF21"
"ENSG00000225387",TRUE,TRUE,FALSE,TRUE,FALSE,""
"ENSG00000009709",TRUE,TRUE,FALSE,TRUE,TRUE,"PAX7"
"ENSG00000159423",TRUE,TRUE,TRUE,TRUE,FALSE,"ALDH4A1"
"ENSG00000169991",TRUE,TRUE,TRUE,TRUE,TRUE,"IFFO2"
"ENSG00000272084",TRUE,TRUE,TRUE,FALSE,TRUE,""
"ENSG00000211454",TRUE,TRUE,TRUE,TRUE,TRUE,"AKR7L"
"ENSG00000162482",TRUE,TRUE,TRUE,TRUE,TRUE,"AKR7A3"
"ENSG00000053371",TRUE,TRUE,TRUE,TRUE,TRUE,"AKR7A2"
"ENSG00000200403",TRUE,TRUE,TRUE,FALSE,FALSE,"RNU6-1099P"
"ENSG00000077549",TRUE,TRUE,TRUE,TRUE,TRUE,"CAPZB"
"ENSG00000239027",TRUE,TRUE,FALSE,FALSE,FALSE,""
"ENSG00000235185",TRUE,TRUE,FALSE,TRUE,FALSE,""
"ENSG00000173436",TRUE,TRUE,TRUE,TRUE,FALSE,"MINOS1"
"ENSG00000226396",TRUE,TRUE,TRUE,FALSE,FALSE,"RPS14P3"
"ENSG00000158747",TRUE,TRUE,TRUE,TRUE,FALSE,"NBL1"
"ENSG00000158748",TRUE,TRUE,TRUE,TRUE,TRUE,"HTR6"
"ENSG00000162542",TRUE,TRUE,TRUE,TRUE,TRUE,"TMCO4"
"ENSG00000127472",TRUE,TRUE,TRUE,TRUE,TRUE,"PLA2G5"
"ENSG00000187980",TRUE,TRUE,FALSE,TRUE,FALSE,"PLA2G2C"
"ENSG00000225986",TRUE,TRUE,TRUE,TRUE,TRUE,"UBXN10-AS1"
"ENSG00000162543",TRUE,TRUE,TRUE,TRUE,TRUE,"UBXN10"
"ENSG00000158816",TRUE,TRUE,FALSE,TRUE,FALSE,"VWA5B1"
"ENSG00000236963",TRUE,TRUE,TRUE,TRUE,TRUE,"LINC01141"
"ENSG00000162545",TRUE,TRUE,TRUE,TRUE,TRUE,"CAMK2N1"
"ENSG00000090432",TRUE,TRUE,TRUE,TRUE,TRUE,"MUL1"
"ENSG00000183114",TRUE,TRUE,TRUE,FALSE,TRUE,"FAM43B"
"ENSG00000158825",TRUE,TRUE,TRUE,TRUE,TRUE,"CDA"
"ENSG00000158828",TRUE,TRUE,TRUE,TRUE,TRUE,"PINK1"
"ENSG00000117242",TRUE,TRUE,TRUE,TRUE,TRUE,"PINK1-AS"
"ENSG00000244038",TRUE,TRUE,TRUE,TRUE,TRUE,"DDOST"
"ENSG00000117245",TRUE,TRUE,TRUE,TRUE,TRUE,"KIF17"
"ENSG00000235432",TRUE,TRUE,FALSE,FALSE,FALSE,""
"ENSG00000189410",TRUE,TRUE,TRUE,TRUE,TRUE,"SH2D5"
"ENSG00000233069",TRUE,TRUE,FALSE,TRUE,FALSE,""
"ENSG00000127483",TRUE,TRUE,TRUE,TRUE,TRUE,"HP1BP3"
"ENSG00000075151",TRUE,TRUE,TRUE,TRUE,TRUE,"EIF4G3"
"ENSG00000117298",TRUE,TRUE,TRUE,TRUE,TRUE,"ECE1"
"ENSG00000231105",TRUE,TRUE,FALSE,TRUE,FALSE,""
"ENSG00000227001",TRUE,TRUE,TRUE,TRUE,TRUE,"NBPF2P"
"ENSG00000186543",TRUE,TRUE,FALSE,TRUE,FALSE,"CROCCP5"
"ENSG00000142794",TRUE,TRUE,TRUE,TRUE,TRUE,"NBPF3"
